Pagina,Apparaatcategorie,Besturingssysteem,Browser,Browserversie,Unieke paginaweergaves
/templates/bestellen.asp,desktop,Windows,Internet Explorer,11.0,476
/templates/winkelwagen.asp,desktop,Windows,Internet Explorer,11.0,420
/shop/checkout.asp,desktop,Windows,Internet Explorer,11.0,294
/shop/selectpaymentmethod.asp,desktop,Windows,Internet Explorer,11.0,271
/shop/psp/IDEC/cfm.asp,desktop,Windows,Internet Explorer,11.0,169
/templates/bestellen.asp,desktop,Windows,Internet Explorer,9.0,62
/templates/winkelwagen.asp,desktop,Windows,Internet Explorer,9.0,52
/templates/bestellen.asp,tablet,iOS,Safari,7.0,47
/shop/checkout.asp,desktop,Windows,Internet Explorer,9.0,44
/shop/selectpaymentmethod.asp,desktop,Windows,Internet Explorer,9.0,44
/templates/bestellen.asp,desktop,Windows,Chrome,35.0.1916.153,44
/templates/winkelwagen.asp,desktop,Windows,Chrome,35.0.1916.153,41
/templates/bestellen.asp,tablet,iOS,Safari,8.0,39
/templates/bestellen.asp,desktop,Windows,Chrome,36.0.1985.125,36
/templates/bestellen.asp,desktop,Windows,Edge,12.10240,36
/templates/winkelwagen.asp,desktop,Windows,Edge,12.10240,34
/templates/winkelwagen.asp,tablet,iOS,Safari,7.0,34
/templates/bestellen.asp,desktop,Windows,Chrome,35.0.1916.114,33
/templates/bestellen.asp,desktop,Windows,Internet Explorer,10.0,33
/templates/bestellen.asp,desktop,Windows,Chrome,39.0.2171.95,32
/templates/winkelwagen.asp,desktop,Windows,Chrome,35.0.1916.114,31
/shop/psp/IDEC/cfm.asp,desktop,Windows,Internet Explorer,9.0,29
/templates/winkelwagen.asp,tablet,iOS,Safari,8.0,29
/templates/winkelwagen.asp,desktop,Windows,Chrome,36.0.1985.125,28
/templates/winkelwagen.asp,desktop,Windows,Internet Explorer,10.0,28
/templates/bestellen.asp,desktop,Windows,Chrome,38.0.2125.111,27
/templates/winkelwagen.asp,desktop,Windows,Chrome,39.0.2171.95,27
/shop/checkout.asp,desktop,Windows,Chrome,35.0.1916.153,26
/shop/checkout.asp,tablet,iOS,Safari,7.0,25
/templates/bestellen.asp,desktop,Windows,Chrome,34.0.1847.131,25
/shop/checkout.asp,desktop,Windows,Edge,12.10240,24
/shop/selectpaymentmethod.asp,desktop,Windows,Chrome,35.0.1916.153,24
/templates/bestellen.asp,desktop,Windows,Chrome,49.0.2623.87,24
/templates/bestellen.asp,desktop,Windows,Edge,13.10586,24
/templates/winkelwagen.asp,desktop,Windows,Chrome,34.0.1847.131,24
/templates/bestellen.asp,desktop,Windows,Chrome,49.0.2623.112,23
