Datum,Dag van de week,Maand van het jaar,Jaar,Sessies,Gebruikers
20151231,4,12,2015,50,50
20151230,3,12,2015,21,20
20151229,2,12,2015,22,20
20151228,1,12,2015,45,40
20151227,0,12,2015,7,7
20151226,6,12,2015,5,5
20151225,5,12,2015,6,6
20151224,4,12,2015,10,10
20151223,3,12,2015,18,17
20151222,2,12,2015,14,13
20151221,1,12,2015,26,23
20151220,0,12,2015,19,19
20151219,6,12,2015,25,23
20151218,5,12,2015,10,9
20151217,4,12,2015,6,5
20151216,3,12,2015,14,13
20151215,2,12,2015,19,16
20151214,1,12,2015,25,25
20151213,0,12,2015,13,12
20151212,6,12,2015,14,11
20151211,5,12,2015,25,20
20151210,4,12,2015,20,14
20151209,3,12,2015,16,11
20151208,2,12,2015,42,33
20151207,1,12,2015,35,35
20151206,0,12,2015,10,9
20151205,6,12,2015,19,17
20151204,5,12,2015,15,14
20151203,4,12,2015,18,18
20151202,3,12,2015,24,20
20151201,2,12,2015,30,25
20151130,1,11,2015,32,30
20151129,0,11,2015,17,13
20151128,6,11,2015,19,13
20151127,5,11,2015,15,15
20151126,4,11,2015,36,30
20151125,3,11,2015,31,23
20151124,2,11,2015,36,30
20151123,1,11,2015,27,25
20151122,0,11,2015,12,9
20151121,6,11,2015,12,9
20151120,5,11,2015,17,16
20151119,4,11,2015,19,14
20151118,3,11,2015,24,17
20151117,2,11,2015,20,17
20151116,1,11,2015,30,24
20151115,0,11,2015,20,16
20151114,6,11,2015,11,9
20151113,5,11,2015,22,16
20151112,4,11,2015,15,8
20151111,3,11,2015,20,15
20151110,2,11,2015,32,28
20151109,1,11,2015,21,20
20151108,0,11,2015,7,7
20151107,6,11,2015,7,7
20151106,5,11,2015,7,7
20151105,4,11,2015,23,20
20151104,3,11,2015,25,23
20151103,2,11,2015,24,20
20151102,1,11,2015,29,27
20151101,0,11,2015,12,11
20151031,6,10,2015,8,8
20151030,5,10,2015,15,15
20151029,4,10,2015,11,11
20151028,3,10,2015,14,13
20151027,2,10,2015,28,25
20151026,1,10,2015,37,36
20151025,0,10,2015,14,12
20151024,6,10,2015,10,7
20151023,5,10,2015,21,21
20151022,4,10,2015,17,17
20151021,3,10,2015,25,24
20151020,2,10,2015,19,18
20151019,1,10,2015,25,25
20151018,0,10,2015,13,12
20151017,6,10,2015,8,8
20151016,5,10,2015,12,11
20151015,4,10,2015,16,13
20151014,3,10,2015,14,12
20151013,2,10,2015,21,20
20151012,1,10,2015,26,23
20151011,0,10,2015,14,14
20151010,6,10,2015,11,10
20151009,5,10,2015,12,12
20151008,4,10,2015,10,10
20151007,3,10,2015,21,20
20151006,2,10,2015,28,25
20151005,1,10,2015,20,20
20151004,0,10,2015,8,8
20151003,6,10,2015,5,5
20151002,5,10,2015,10,10
20151001,4,10,2015,11,11
20150930,3,09,2015,19,19
20150929,2,09,2015,30,27
20150928,1,09,2015,21,21
20150927,0,09,2015,10,9
20150926,6,09,2015,12,12
20150925,5,09,2015,12,12
20150924,4,09,2015,12,12
20150923,3,09,2015,18,18
20150922,2,09,2015,35,34
20150921,1,09,2015,21,21
20150920,0,09,2015,5,5
20150919,6,09,2015,10,7
20150918,5,09,2015,10,10
20150917,4,09,2015,9,8
20150916,3,09,2015,22,22
20150915,2,09,2015,22,20
20150914,1,09,2015,25,24
20150913,0,09,2015,6,6
20150912,6,09,2015,6,5
20150911,5,09,2015,14,14
20150910,4,09,2015,21,18
20150909,3,09,2015,21,21
20150908,2,09,2015,30,27
20150907,1,09,2015,32,31
20150906,0,09,2015,16,15
20150905,6,09,2015,19,17
20150904,5,09,2015,13,13
20150903,4,09,2015,20,20
20150902,3,09,2015,30,27
20150901,2,09,2015,26,22
20150831,1,08,2015,39,37
20150830,0,08,2015,13,13
20150829,6,08,2015,13,12
20150828,5,08,2015,9,9
20150827,4,08,2015,25,25
20150826,3,08,2015,25,24
20150825,2,08,2015,35,31
20150824,1,08,2015,18,17
20150823,0,08,2015,6,6
20150822,6,08,2015,4,4
20150821,5,08,2015,10,9
20150820,4,08,2015,6,6
20150819,3,08,2015,19,19
20150818,2,08,2015,24,20
20150817,1,08,2015,19,19
20150816,0,08,2015,9,9
20150815,6,08,2015,12,11
20150814,5,08,2015,16,15
20150813,4,08,2015,11,11
20150812,3,08,2015,25,22
20150811,2,08,2015,28,20
20150810,1,08,2015,23,21
20150809,0,08,2015,9,8
20150808,6,08,2015,10,8
20150807,5,08,2015,17,17
20150806,4,08,2015,11,11
20150805,3,08,2015,15,14
