Datum,Regio,Plaats,Lengtegraad,Breedtegraad,Sessies,Gebruikers,Bestelling (Voltooiingen doel 4)
20150101,Drenthe,Assen,6.5642,52.9928,1,1,0
20150101,Drenthe,Zuidlaren,6.6848,53.0941,1,1,0
20150101,Friesland,Haulerwijk,6.3319,53.0653,1,1,0
20150101,Limburg,Roermond,5.9878,51.1913,1,1,1
20150101,Limburg,Sittard,5.8865,51.0006,1,1,0
20150101,North Brabant,Helmond,5.6570,51.4793,1,1,0
20150101,North Brabant,Uden,5.6239,51.6631,1,1,0
20150101,North Holland,Haarlem,4.6462,52.3874,1,1,0
20150101,Utrecht,Maarssenbroek,5.0171,52.1319,1,1,0
20150101,Utrecht,Driebergen-Rijsenburg,5.2793,52.0539,2,1,0
20150101,South Holland,Rotterdam,4.4777,51.9244,2,2,0
20150101,South Holland,The Hague,4.3007,52.0705,1,1,0
20150102,Drenthe,Assen,6.5642,52.9928,2,1,0
20150102,Flevoland,Almere,5.2647,52.3508,1,1,0
20150102,Flevoland,Dronten,5.7218,52.5347,1,1,0
20150102,Friesland,Dokkum,6.0001,53.3255,1,1,0
20150102,Gelderland,Arnhem,5.8987,51.9851,1,1,0
20150102,Gelderland,Wamel,5.4577,51.8775,1,1,0
20150102,Groningen,Groningen,6.5665,53.2194,1,1,0
20150102,Limburg,Maastricht,5.6910,50.8514,1,1,0
20150102,Limburg,Stein,5.7662,50.9680,1,1,0
20150102,North Holland,Beverwijk,4.6574,52.4870,1,1,0
20150102,North Holland,Heerhugowaard,4.8325,52.6627,1,1,0
20150102,North Holland,Nieuw-Vennep,4.6318,52.2640,1,1,0
20150102,North Holland,Uitgeest,4.7120,52.5312,1,1,0
20150102,South Holland,Rotterdam,4.4777,51.9244,2,1,0
20150103,Drenthe,Assen,6.5642,52.9928,3,2,0
20150103,Friesland,Drachten,6.0586,53.0926,1,1,0
20150103,Friesland,Leeuwarden,5.7999,53.2012,1,1,0
20150103,Gelderland,Arnhem,5.8987,51.9851,1,1,0
20150103,Groningen,Groningen,6.5665,53.2194,1,1,0
20150103,Limburg,Reuver,6.0828,51.2862,1,1,0
20150103,North Brabant,Helmond,5.6570,51.4793,1,1,0
20150103,North Brabant,Tilburg,5.0919,51.5606,1,1,0
20150103,North Brabant,Valkenswaard,5.4533,51.3555,1,1,0
20150103,North Holland,Amsterdam,4.8952,52.3702,2,2,0
20150103,Overijssel,Nijverdal,6.4628,52.3639,1,1,0
20150103,Overijssel,Zwolle,6.0830,52.5168,1,1,0
20150103,Utrecht,Oudewater,4.8684,52.0242,1,1,0
20150103,Zeeland,Axel,3.9094,51.2669,1,1,0
20150103,South Holland,Rotterdam,4.4777,51.9244,1,1,0
20150103,South Holland,Numansdorp,4.4382,51.7348,1,1,0
20150104,Friesland,Joure,5.7972,52.9655,1,1,0
20150104,Friesland,Leeuwarden,5.7999,53.2012,1,1,0
20150104,Gelderland,Arnhem,5.8987,51.9851,3,2,0
20150104,Groningen,Groningen,6.5665,53.2194,1,1,0
20150104,Groningen,Stadskanaal,6.9462,52.9920,1,1,1
20150104,Limburg,Venray,5.9737,51.5256,1,1,0
20150104,North Brabant,Boxtel,5.3122,51.6014,1,1,0
20150104,North Brabant,Eindhoven,5.4697,51.4416,1,1,0
20150104,North Brabant,Valkenswaard,5.4533,51.3555,1,1,0
20150104,North Holland,Haarlem,4.6462,52.3874,1,1,0
20150104,Utrecht,Amersfoort,5.3878,52.1561,1,1,0
